"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-20","0.00","0.0","2.0","3","18","-6"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-21","0.47","5.3","5.9","21","35","16"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-22","0.00","0.0","7.1","24","29","15"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-23","0.01","0.0","5.9","13","19","3"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-24","0.00","0.0","5.1","9","25","-6"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-25","0.00","0.0","5.1","24","33","14"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-26","0.04","0.7","3.9","21","25","7"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-27","0.00","0.0","3.9","10","18","2"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-28","0.23","2.0","3.9","15","25","7"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-01","0.53","5.9","11.0","25","31","22"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-02","0.00","0.0","11.0","24","34","14"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-03","0.28","0.0","9.1","31","40","26"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-04","0.07","0.0","7.1","31","35","19"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-05","0.00","0.0","5.9","19","23","8"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-06","0.00","0.0","5.9","14","30","2"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-07","0.00","0.0","5.9","30","42","21"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-08","0.00","0.0","5.1","37","49","27"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-09","0.00","0.0","2.0","40","48","31"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-10","0.40","0.0","0.0","44","49","40"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-11","0.00","0.0","0.0","45","64","34"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-12","0.00","0.0","0.0","44","60","31"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-13","0.51","0.0","0.0","47","53","42"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-14","0.43","0.0","0.0","52","59","43"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-15","0.00","0.0","0.0","49","65","33"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-16","0.00","0.0","0.0","59","74","47"
