soccode,soctitle,freq,socagg
21-1014,Mental health counselors,1942,Counselors
21-1015,Rehabilitation counselors,633,Counselors
21-1019,"Counselors, all other",962,Counselors
21-1021,"Child, family, and school social workers",718,Social workers
21-1022,Healthcare social workers,262,Social workers
21-1023,Mental health and substance abuse social workers,1845,Social workers
21-1029,"Social workers, all other",15671,Social workers
21-1091,Health educators,1188,
21-1092,Probation officers and correctional treatment specialists,327,Probation and parole officers
21-1093,Social and human service assistants,1043,
21-1094,Community health workers,181,
21-1099,"Community and social service specialists, all other",596,
21-2011,Clergy,6292,Clergy
21-2021,"Directors, religious activities and education",79,
21-2099,"Religious workers, all other",112,
23-1011,Lawyers,78755,Lawyers
23-1012,Judicial law clerks,994,
23-1021,"Administrative law judges, adjudicators, and hearing officers",263,
23-1022,"Arbitrators, mediators, and conciliators",892,
23-1023,"Judges, magistrate judges, and magistrates",335,Judges
23-2011,Paralegals and legal assistants,10044,Paralegals and legal assistants
23-2091,Court reporters,617,
23-2093,"Title examiners, abstractors, and searchers",481,
23-2099,"Legal support workers, all other",914,
25-1011,"Business teachers, postsecondary",35,College professors
25-1021,"Computer science teachers, postsecondary",4,College professors
25-1022,"Mathematical science teachers, postsecondary",158,College professors
25-1031,"Architecture teachers, postsecondary",6,College professors
25-1032,"Engineering teachers, postsecondary",8,College professors
25-1041,"Agricultural sciences teachers, postsecondary",12,College professors
25-1042,"Biological science teachers, postsecondary",101,College professors
25-1043,"Forestry and conservation science teachers, postsecondary",1,College professors
25-1051,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",11,College professors
25-1052,"Chemistry teachers, postsecondary",40,College professors
25-1053,"Environmental science teachers, postsecondary",11,College professors
25-1054,"Physics teachers, postsecondary",42,College professors
25-1061,"Anthropology and archeology teachers, postsecondary",5,College professors
25-1062,"Area, ethnic, and cultural studies teachers, postsecondary",8,College professors
25-1063,"Economics teachers, postsecondary",20,College professors
25-1064,"Geography teachers, postsecondary",2,College professors
25-1065,"Political science teachers, postsecondary",50,College professors
25-1066,"Psychology teachers, postsecondary",46,College professors
25-1067,"Sociology teachers, postsecondary",565,College professors
25-1069,"Social sciences teachers, postsecondary, all other",2,College professors
25-1071,"Health specialties teachers, postsecondary",141,College professors
25-1072,"Nursing instructors and teachers, postsecondary",102,College professors
25-1081,"Education teachers, postsecondary",44,College professors
25-1111,"Criminal justice and law enforcement teachers, postsecondary",1,College professors
25-1112,"Law teachers, postsecondary",602,College professors
25-1113,"Social work teachers, postsecondary",31,College professors
25-1121,"Art, drama, and music teachers, postsecondary",339,College professors
25-1122,"Communications teachers, postsecondary",7,College professors
25-1123,"English language and literature teachers, postsecondary",338,College professors
25-1124,"Foreign language and literature teachers, postsecondary",114,College professors
25-1125,"History teachers, postsecondary",143,College professors
25-1126,"Philosophy and religion teachers, postsecondary",59,College professors
25-1191,Graduate teaching assistants,7458,College professors
25-1192,"Home economics teachers, postsecondary",1,College professors
25-1193,"Recreation and fitness studies teachers, postsecondary",51,College professors
25-1194,"Vocational education teachers, postsecondary",110,College professors
25-1199,"Postsecondary teachers, all other",45730,College professors
25-2011,"Preschool teachers, except special education",1152,Teachers
25-2012,"Kindergarten teachers, except special education",80,Teachers
25-2021,"Elementary school teachers, except special education",180,Teachers
25-2022,"Middle school teachers, except special and career/technical education",288,Teachers
25-2023,"Career/technical education teachers, middle school",8,Teachers
25-2031,"Secondary school teachers, except special and career/technical education",100178,Teachers
25-2032,"Career/technical education teachers, secondary school",1,Teachers
25-2051,"Special education teachers, preschool",649,Teachers
25-2052,"Special education teachers, kindergarten and elementary school",1887,Teachers
25-2053,"Special education teachers, middle school",1,Teachers
25-2054,"Special education teachers, secondary school",4,Teachers
25-3011,Adult basic and secondary education and literacy teachers and instructors,499,Teachers
25-3021,Self-enrichment education teachers,3472,Teachers
25-3099,"Teachers and instructors, all other",6284,Teachers
25-4011,Archivists,854,
25-4012,Curators,604,
25-4013,Museum technicians and conservators,203,
25-4021,Librarians,8564,Librarians
25-4031,Library technicians,481,
25-9011,Audio-visual and multimedia collections specialists,153,
25-9021,Farm and home management advisors,39,
25-9031,Instructional coordinators,1923,
25-9041,Teacher assistants,4573,
27-1011,Art directors,4365,Artists
27-1012,Craft artists,285,Artists
27-1013,"Fine artists, including painters, sculptors, and illustrators",11567,Artists
27-1014,Multimedia artists and animators,1058,Artists
27-1019,"Artists and related workers, all other",450,Artists
27-1021,Commercial and industrial designers,921,
27-1022,Fashion designers,416,
27-1023,Floral designers,589,
27-1024,Graphic designers,9492,Graphic designers
27-1025,Interior designers,2546,Interior designers
27-1026,Merchandise displayers and window trimmers,1102,
27-1027,Set and exhibit designers,339,
27-1029,"Designers, all other",92,
27-2011,Actors,4492,Actors
27-2012,Producers and directors,9438,
27-2021,Athletes and sports competitors,131,
27-2022,Coaches and scouts,1969,
27-2023,"Umpires, referees, and other sports officials",82,
27-2031,Dancers,315,
27-2032,Choreographers,108,
27-2041,Music directors and composers,1045,Musicians and singers
27-2042,Musicians and singers,9146,Musicians and singers
27-2099,"Entertainers and performers, sports and related workers, all other",521,
27-3011,Radio and television announcers,567,
27-3012,Public address system and other announcers,22,
27-3021,Broadcast news analysts,80,
27-3022,Reporters and correspondents,1746,Reporters
27-3031,Public relations specialists,4076,Public relations and fundraising workers
27-3041,Editors,9143,"Writers, authors, editors"
27-3042,Technical writers,3547,"Writers, authors, editors"
27-3043,Writers and authors,20140,"Writers, authors, editors"
27-3091,Interpreters and translators,1933,
27-3099,"Media and communication workers, all other",49,
27-4011,Audio and video equipment technicians,701,"Audio, video, sound technicians"
27-4012,Broadcast technicians,984,"Audio, video, sound technicians"
27-4013,Radio operators,38,"Audio, video, sound technicians"
27-4014,Sound engineering technicians,647,"Audio, video, sound technicians"
27-4021,Photographers,5769,Photographers
27-4031,"Camera operators, television, video, and motion picture",1860,Camera operators and editors
27-4032,Film and video editors,1747,Camera operators and editors
27-4099,"Media and communication equipment workers, all other",5,
29-1011,Chiropractors,1083,
29-1021,"Dentists, general",1807,Dentists
29-1022,Oral and maxillofacial surgeons,49,Dentists
29-1023,Orthodontists,86,Dentists
29-1024,Prosthodontists,7,Dentists
29-1029,"Dentists, all other specialists",102,Dentists
29-1031,Dietitians and nutritionists,1364,
29-1041,Optometrists,703,
29-1051,Pharmacists,4744,Pharmacists
